EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Sprint review,PerformanceRating
E100457,51,Male,Bachelors,Single,Development,Business Analyst,Travel_Frequently,10,3,1,53,1,3,4,2,No,15,4,18,2,3,4,2,0,3,Yes,0.88,4
E100355,37,Male,Bachelors,Divorced,Development,Business Analyst,Travel_Rarely,14,4,1,51,2,2,3,1,No,18,3,7,2,4,7,5,0,7,No,0.53,3
E100417,37,Male,Bachelors,Divorced,Development,Business Analyst,Non-Travel,5,4,3,100,2,2,4,5,No,14,4,17,2,4,1,0,0,0,No,0.53,3
E100429,34,Female,Bachelors,Divorced,Development,Business Analyst,Travel_Rarely,10,4,3,45,2,2,2,6,No,15,3,12,3,3,1,0,0,0,No,0.71,3
E100363,36,Male,Bachelors,Single,Development,Business Analyst,Travel_Frequently,16,4,2,95,2,2,2,1,No,13,3,6,3,3,6,5,0,3,No,0.89,4
E100364,45,Male,Bachelors,Divorced,Development,Business Analyst,Travel_Rarely,10,2,2,59,3,3,1,2,No,17,3,25,2,3,1,0,0,0,No,0.69,3
E100419,50,Female,Bachelors,Married,Development,Business Analyst,Travel_Frequently,8,4,1,73,3,5,2,3,Yes,19,1,28,1,2,8,3,0,7,No,0.52,3
E100428,24,Male,Bachelors,Married,Development,Business Analyst,Travel_Rarely,1,2,2,52,3,1,3,0,No,12,3,6,2,3,5,3,1,2,No,0.65,3
E100372,29,Male,Bachelors,Married,Development,Business Analyst,Travel_Rarely,8,3,3,76,3,1,2,0,No,23,4,6,3,3,5,4,0,4,No,0.9,4
E100383,35,Male,Phd,Single,Development,Business Analyst,Travel_Rarely,1,3,2,30,2,1,3,1,No,18,1,6,3,3,6,4,0,4,No,0.73,3
E100421,25,Male,Phd,Married,Development,Business Analyst,Travel_Rarely,24,3,4,64,2,1,4,1,No,11,3,2,2,3,2,2,2,1,No,0.51,3
E100431,34,Female,Phd,Single,Development,Business Analyst,Travel_Rarely,3,3,3,45,2,3,1,2,No,12,4,14,6,3,11,10,5,8,No,0.5,3
E100353,35,Female,Phd,Married,Development,Business Analyst,Travel_Rarely,27,5,3,30,3,1,1,3,Yes,15,3,4,3,3,2,2,2,2,No,0.77,3
E100373,31,Male,Phd,Single,Development,Business Analyst,Travel_Rarely,10,3,3,87,3,1,2,1,No,17,2,1,4,3,1,1,1,0,No,0.76,3
E100388,34,Male,Phd,Married,Development,Business Analyst,Travel_Rarely,19,3,1,94,3,2,2,1,No,15,3,5,2,3,5,2,1,3,No,0.61,3
E100361,36,Female,Masters,Divorced,Development,Business Analyst,Travel_Rarely,8,2,3,59,3,3,3,1,No,13,2,17,2,3,17,14,12,8,No,0.45,3
E100574,51,Male,Bachelors,Married,Data Science,Data Scientist,Travel_Rarely,3,3,2,81,2,3,2,5,No,16,4,16,5,1,10,9,4,7,No,0.48,3
E1001202,36,Male,Bachelors,Married,Data Science,Data Scientist,Travel_Rarely,9,3,3,68,3,2,4,0,Yes,17,1,17,2,2,16,8,4,11,No,0.53,3
E100612,41,Male,Bachelors,Divorced,Data Science,Data Scientist,Travel_Rarely,2,1,3,36,3,2,1,2,No,16,1,17,2,2,1,0,0,0,No,0.77,3
E100662,26,Female,Bachelors,Divorced,Data Science,Data Scientist,Travel_Frequently,7,3,3,84,3,2,2,1,No,20,1,6,6,1,6,5,1,4,No,0.63,3
E100725,47,Male,Bachelors,Married,Data Science,Data Scientist,Travel_Rarely,10,3,4,42,3,5,3,4,No,11,2,21,2,3,3,2,1,1,No,0.49,3
E100824,52,Female,Bachelors,Married,Data Science,Data Scientist,Travel_Rarely,6,3,4,30,3,4,4,2,No,13,4,31,2,1,5,2,1,4,No,0.68,3
E100834,38,Male,Bachelors,Married,Data Science,Data Scientist,Travel_Frequently,2,4,4,42,3,1,4,1,Yes,23,3,1,3,3,1,0,0,0,No,0.92,4
E100995,34,Female,Phd,Single,Data Science,Data Scientist,Travel_Rarely,24,4,4,46,2,3,2,1,No,14,2,9,3,4,8,7,7,7,No,0.5,3
E100645,31,Male,Phd,Married,Data Science,Data Scientist,Travel_Rarely,8,5,2,64,2,2,4,0,No,21,2,10,2,3,9,0,7,8,No,0.92,4
E100630,40,Male,Phd,Divorced,Data Science,Data Scientist,Travel_Rarely,3,4,1,49,3,5,3,0,No,19,4,22,5,3,21,7,3,9,No,0.31,2
E1001223,48,Male,Phd,Married,Data Science,Data Scientist,Travel_Rarely,1,4,4,51,3,1,3,4,No,17,1,13,2,2,0,0,0,0,No,0.67,3
E100610,39,Female,Phd,Divorced,Data Science,Data Scientist,Travel_Rarely,26,1,3,96,3,1,3,7,No,14,3,7,1,3,3,2,1,2,No,0.75,3
E100672,26,Male,Phd,Divorced,Data Science,Data Scientist,Travel_Rarely,2,2,1,45,3,1,2,2,Yes,13,4,5,2,3,3,2,0,2,Yes,0.64,3
E100775,27,Male,Phd,Divorced,Data Science,Data Scientist,Travel_Rarely,10,1,4,82,3,1,2,1,No,11,2,5,2,3,5,2,0,4,No,0.54,3
E100828,46,Female,Phd,Divorced,Data Science,Data Scientist,Travel_Rarely,27,2,3,87,3,2,3,2,No,14,3,19,5,2,10,7,0,8,No,0.46,3
E100912,38,Female,Phd,Married,Data Science,Data Scientist,Travel_Rarely,2,3,3,76,3,2,3,3,No,19,3,18,4,3,1,0,0,0,No,0.67,3
E100690,28,Male,Phd,Single,Data Science,Data Scientist,Travel_Rarely,8,4,2,68,4,2,1,0,No,19,3,9,2,3,8,3,0,7,No,0.56,3
E1001201,21,Female,Masters,Single,Data Science,Data Scientist,Travel_Rarely,19,4,4,65,3,1,4,1,No,19,1,1,3,2,1,0,0,0,Yes,0.67,3
E100869,42,Male,Masters,Married,Data Science,Data Scientist,Travel_Frequently,1,2,2,97,3,1,3,4,No,17,4,8,4,3,2,2,2,0,No,0.53,3
E1001165,49,Female,Masters,Married,Data Science,Data Scientist,Travel_Rarely,27,3,3,36,3,1,1,2,No,16,2,7,2,3,4,2,0,2,No,0.61,3
E100729,43,Female,Bachelors,Married,Development,Data Engineer,Travel_Rarely,8,3,3,43,3,3,1,8,No,16,1,10,1,2,1,0,0,0,No,0.77,3
E100773,29,Male,Bachelors,Single,Development,Data Engineer,Travel_Rarely,1,4,4,54,3,1,4,9,No,16,4,6,4,3,3,2,1,2,No,0.52,3
E100783,55,Female,Bachelors,Single,Development,Data Engineer,Travel_Rarely,19,4,3,97,3,4,4,2,Yes,13,3,30,2,3,5,4,1,2,No,0.55,3
E100793,37,Female,Bachelors,Divorced,Development,Data Engineer,Travel_Rarely,8,1,4,95,3,1,1,1,No,12,3,18,2,2,18,7,12,17,No,0.62,3
E100796,37,Male,Bachelors,Single,Development,Data Engineer,Travel_Rarely,10,1,3,49,3,2,2,2,Yes,12,4,18,2,2,1,0,0,1,No,0.8,3
E100761,40,Female,Bachelors,Married,Development,Data Engineer,Travel_Rarely,2,4,4,46,4,1,3,3,Yes,13,3,10,3,3,7,7,1,7,No,0.79,3
E100719,30,Female,Phd,Married,Development,Data Engineer,Travel_Rarely,2,4,4,64,3,2,4,1,No,13,4,11,2,3,10,8,1,9,No,0.61,3
E100738,37,Male,Phd,Divorced,Development,Data Engineer,Travel_Rarely,8,4,4,61,3,2,4,7,No,16,3,8,2,2,6,2,0,4,No,0.44,3
E100740,31,Female,Phd,Single,Development,Data Engineer,Travel_Rarely,2,2,3,39,3,3,4,1,Yes,14,3,11,2,2,11,9,4,10,No,0.73,3
